price_per_tonne,yield_t_per_m2
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
1606,0.00487
