fid,category,gewas,gewascode,jaar,status,GDB_GEOMAT,layer,path,z_mean,mergedcrop,Z_DSM_mean,compaction,slope_mean,count_pix,sum,mean
915,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.47222404,8.6670483,-0.47222404,3.52173913,0.398885496,21670,20159.63715,0.930301668
916,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.782274479,8.197027208,0.782274479,4,0.694129974,20482,4325.68533,0.21119448
917,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.121927833,2.906638583,-0.121927833,42.89361702,0.288303847,7264,4212.889553,0.579968275
918,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.295266299,5.127415304,-0.295266299,156.5903614,0.605711119,12819,9727.000967,0.758795613
919,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,0.355061888,3.341697187,0.355061888,35.65454545,0.313198332,8352,859.7656289,0.102941287
921,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.081351789,5.470167459,-1.081351789,4.541176471,0.676715881,13685,21066.07997,1.539355496
922,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.671427554,3.960764185,-0.671427554,4,0.422952627,9905,11187.015,1.129431095
923,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-0.674088283,4.317873945,-0.674088283,3.260869565,0.369047409,10792,12217.49651,1.132088261
924,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,-1.076403328,9.38196912,-1.076403328,4,1.011502238,23459,36014.27234,1.535200663
925,Bouwland,"Aardappelen, consumptie",2014,,Definitief,,Aardappelen - All variations POTATOES — basic_crop_registratio_plots__crop_registration_plots_,F:/1 - Thesis/Field data/Crop/Aardappelen - All variations POTATOES.gpkg|layername=basic_crop_registratio_plots__crop_registration_plots_,1.70736387,0.462203266,1.70736387,4,2.197069327,1155,-1345.888902,-1.165271777
